"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.min_delta","global_config.n_runs","global_config.patience","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-dataset","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-dataset","target-edges","target-nodes","target-transitivity","% Difference","-early-stopping-epoch","-training-loss","-validation-loss","source-classifier-accuracy","target-classifier-accuracy"
"egi-k3-3","finished","-","niklasdewally","","2023-06-06T12:22:50.000Z","92","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","17.97362942401109","13","-1.8551212549209597","-0.24990536272525787","0.55","0.648854961832061"
"egi-k3-2","finished","-","niklasdewally","","2023-06-06T12:20:41.000Z","127","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","67.11367856406025","23","-2.175710439682007","0.15527689456939697","0.37","0.6183206106870229"
"egi-k3-1","finished","-","niklasdewally","","2023-06-06T12:18:32.000Z","127","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","61.15351993214588","23","-2.6142187118530273","-0.14666703343391418","0.45","0.7251908396946565"
"egi-k3-0","finished","-","niklasdewally","","2023-06-06T12:15:19.000Z","191","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","52.67175572519084","41","-3.4076685905456543","-0.25387337803840637","0.44","0.6717557251908397"
"triangle-k3-19","finished","-","niklasdewally","","2023-06-06T12:06:42.000Z","515","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","11.959287531806622","22","-9.204264640808104","-1.150438904762268","0.6","0.6717557251908397"
"triangle-k3-18","finished","-","niklasdewally","","2023-06-06T11:59:15.000Z","445","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","66.87377951358067","4","-8.943875312805176","-0.9604206085205078","0.43","0.7175572519083969"
"triangle-k3-17","finished","-","niklasdewally","","2023-06-06T11:48:49.000Z","623","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","72.16176709436415","48","-9.161213874816896","-1.1398411989212036","0.47","0.8091603053435115"
"triangle-k3-16","finished","-","niklasdewally","","2023-06-06T11:37:54.000Z","653","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","49.42342049699528","57","-9.188776969909668","-1.0455700159072876","0.47","0.7022900763358778"
"triangle-k3-15","finished","-","niklasdewally","","2023-06-06T11:29:57.000Z","474","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","67.21192293711377","12","-9.294007301330566","-0.6993954181671143","0.42","0.7022900763358778"
"triangle-k3-14","finished","-","niklasdewally","","2023-06-06T11:20:50.000Z","545","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","49.84450098953915","32","-9.30044937133789","-1.0839091539382937","0.54","0.8091603053435115"
